method;N;M;threads;chunkSize;ExecutingTime;
Runtime;180;180;7;not defined;0.00413044;
Runtime;180;180;8;not defined;0.00345232;
Runtime;190;190;1;not defined;0.0293133;
Runtime;190;190;2;not defined;0.0145943;
Runtime;190;190;3;not defined;0.0110696;
Runtime;190;190;4;not defined;0.00752989;
Runtime;190;190;5;not defined;0.00585211;
Runtime;190;190;6;not defined;0.00539032;
Runtime;190;190;7;not defined;0.00444584;
Runtime;190;190;8;not defined;0.003904;
Runtime;200;200;1;not defined;0.0334986;
Runtime;200;200;2;not defined;0.0170187;
Runtime;200;200;3;not defined;0.0113117;
Runtime;200;200;4;not defined;0.00889042;
Runtime;200;200;5;not defined;0.00682002;
Runtime;200;200;6;not defined;0.006374;
Runtime;200;200;7;not defined;0.00896527;
Runtime;200;200;8;not defined;0.00558654;
Runtime;210;210;1;not defined;0.0441613;
Runtime;210;210;2;not defined;0.0207429;
Runtime;210;210;3;not defined;0.0136756;
Runtime;210;210;4;not defined;0.0103346;
Runtime;210;210;5;not defined;0.00807017;
Runtime;210;210;6;not defined;0.00708083;
Runtime;210;210;7;not defined;0.005964;
Runtime;210;210;8;not defined;0.00512964;
Runtime;220;220;1;not defined;0.049417;
Runtime;220;220;2;not defined;0.0243122;
Runtime;220;220;3;not defined;0.0153691;
Runtime;220;220;4;not defined;0.0116396;
Runtime;220;220;5;not defined;0.0130045;
Runtime;220;220;6;not defined;0.0144371;
Runtime;220;220;7;not defined;0.00704071;
Runtime;220;220;8;not defined;0.0109494;
Runtime;230;230;1;not defined;0.0509792;
Runtime;230;230;2;not defined;0.0255832;
Runtime;230;230;3;not defined;0.017206;
Runtime;230;230;4;not defined;0.0130715;
Runtime;230;230;5;not defined;0.0104935;
Runtime;230;230;6;not defined;0.00989076;
Runtime;230;230;7;not defined;0.00766978;
Runtime;230;230;8;not defined;0.0108778;
Runtime;240;240;1;not defined;0.0611334;
Runtime;240;240;2;not defined;0.0292122;
Runtime;240;240;3;not defined;0.0194741;
Runtime;240;240;4;not defined;0.014672;
Runtime;240;240;5;not defined;0.0120643;
Runtime;240;240;6;not defined;0.0101962;
Runtime;240;240;7;not defined;0.00899936;
Runtime;240;240;8;not defined;0.0139572;
Runtime;250;250;1;not defined;0.0663037;
Runtime;250;250;2;not defined;0.033181;
Runtime;250;250;3;not defined;0.0235366;
Runtime;250;250;4;not defined;0.017733;
Runtime;250;250;5;not defined;0.0137196;
Runtime;250;250;6;not defined;0.0120298;
Runtime;250;250;7;not defined;0.00968805;
Runtime;250;250;8;not defined;0.00939737;
Runtime;260;260;1;not defined;0.0740945;
Runtime;260;260;2;not defined;0.0370322;
Runtime;260;260;3;not defined;0.0250726;
Runtime;260;260;4;not defined;0.019699;
Runtime;260;260;5;not defined;0.0158466;
Runtime;260;260;6;not defined;0.0126853;
Runtime;260;260;7;not defined;0.0113746;
Runtime;260;260;8;not defined;0.0101638;
Runtime;270;270;1;not defined;0.0825934;
Runtime;270;270;2;not defined;0.0434752;
Runtime;270;270;3;not defined;0.0278994;
Runtime;270;270;4;not defined;0.0218234;
Runtime;270;270;5;not defined;0.0170887;
Runtime;270;270;6;not defined;0.0155599;
Runtime;270;270;7;not defined;0.0145992;
Runtime;270;270;8;not defined;0.011347;
Runtime;280;280;1;not defined;0.0999673;
Runtime;280;280;2;not defined;0.0506922;
Runtime;280;280;3;not defined;0.0351846;
Runtime;280;280;4;not defined;0.0269841;
Runtime;280;280;5;not defined;0.0217428;
Runtime;280;280;6;not defined;0.0173472;
Runtime;280;280;7;not defined;0.0251764;
Runtime;280;280;8;not defined;0.0124782;
Runtime;290;290;1;not defined;0.103563;
Runtime;290;290;2;not defined;0.0520439;
Runtime;290;290;3;not defined;0.0389668;
Runtime;290;290;4;not defined;0.029899;
Runtime;290;290;5;not defined;0.0208996;
Runtime;290;290;6;not defined;0.0182015;
Runtime;290;290;7;not defined;0.0151869;
Runtime;290;290;8;not defined;0.0141839;
Runtime;300;300;1;not defined;0.114388;
Runtime;300;300;2;not defined;0.0590163;
Runtime;300;300;3;not defined;0.0381545;
Runtime;300;300;4;not defined;0.0288745;
Runtime;300;300;5;not defined;0.024686;
Runtime;300;300;6;not defined;0.0195727;
Runtime;300;300;7;not defined;0.0172016;
Runtime;300;300;8;not defined;0.0204061;
Runtime;310;310;1;not defined;0.140698;
Runtime;310;310;2;not defined;0.0679784;
Runtime;310;310;3;not defined;0.0474972;
Runtime;310;310;4;not defined;0.0356934;
Runtime;310;310;5;not defined;0.0266835;
Runtime;310;310;6;not defined;0.0226373;
Runtime;310;310;7;not defined;0.0195256;
Runtime;310;310;8;not defined;0.0169778;
Runtime;320;320;1;not defined;0.137432;
Runtime;320;320;2;not defined;0.0687734;
Runtime;320;320;3;not defined;0.047202;
Runtime;320;320;4;not defined;0.0416748;
Runtime;320;320;5;not defined;0.0329862;
Runtime;320;320;6;not defined;0.0257146;
Runtime;320;320;7;not defined;0.020696;
Runtime;320;320;8;not defined;0.0187666;
Runtime;330;330;1;not defined;0.150676;
Runtime;330;330;2;not defined;0.0775554;
Runtime;330;330;3;not defined;0.0556154;
Runtime;330;330;4;not defined;0.0385289;
Runtime;330;330;5;not defined;0.0322193;
Runtime;330;330;6;not defined;0.0255968;
Runtime;330;330;7;not defined;0.0235386;
Runtime;330;330;8;not defined;0.0207677;
Runtime;340;340;1;not defined;0.165095;
Runtime;340;340;2;not defined;0.0830506;
Runtime;340;340;3;not defined;0.0562417;
Runtime;340;340;4;not defined;0.0428112;
Runtime;340;340;5;not defined;0.0346195;
Runtime;340;340;6;not defined;0.0285016;
Runtime;340;340;7;not defined;0.0260025;
Runtime;340;340;8;not defined;0.0217637;
Runtime;350;350;1;not defined;0.180683;
Runtime;350;350;2;not defined;0.0904794;
Runtime;350;350;3;not defined;0.0619823;
Runtime;350;350;4;not defined;0.0471596;
Runtime;350;350;5;not defined;0.0400296;
Runtime;350;350;6;not defined;0.0351316;
Runtime;350;350;7;not defined;0.0285734;
Runtime;350;350;8;not defined;0.0379964;
Runtime;360;360;1;not defined;0.197157;
Runtime;360;360;2;not defined;0.0992309;
Runtime;360;360;3;not defined;0.0729766;
Runtime;360;360;4;not defined;0.0510215;
Runtime;360;360;5;not defined;0.0412305;
Runtime;360;360;6;not defined;0.0374839;
Runtime;360;360;7;not defined;0.0290921;
Runtime;360;360;8;not defined;0.0253327;
Runtime;370;370;1;not defined;0.212665;
Runtime;370;370;2;not defined;0.108478;
Runtime;370;370;3;not defined;0.0775044;
Runtime;370;370;4;not defined;0.0558091;
Runtime;370;370;5;not defined;0.0436939;
Runtime;370;370;6;not defined;0.0364555;
Runtime;370;370;7;not defined;0.0363342;
Runtime;370;370;8;not defined;0.0305235;
Runtime;380;380;1;not defined;0.236861;
Runtime;380;380;2;not defined;0.130517;
Runtime;380;380;3;not defined;0.0786847;
Runtime;380;380;4;not defined;0.0620943;
Runtime;380;380;5;not defined;0.0466964;
Runtime;380;380;6;not defined;0.0442768;
Runtime;380;380;7;not defined;0.039756;
Runtime;380;380;8;not defined;0.0296198;
Runtime;390;390;1;not defined;0.251539;
Runtime;390;390;2;not defined;0.126268;
Runtime;390;390;3;not defined;0.0834108;
Runtime;390;390;4;not defined;0.0721771;
Runtime;390;390;5;not defined;0.0527842;
Runtime;390;390;6;not defined;0.0433574;
Runtime;390;390;7;not defined;0.0393707;
Runtime;390;390;8;not defined;0.0350123;
Runtime;400;400;1;not defined;0.270398;
Runtime;400;400;2;not defined;0.136266;
Runtime;400;400;3;not defined;0.0910365;
Runtime;400;400;4;not defined;0.0721627;
Runtime;400;400;5;not defined;0.0554419;
